site,x,y,mesh,elem,trinode_1,trinode_2,trinode_3,depth
FS1101,203300,733100,linnhe7,28245,15234,15265,15233,29.208406448364258
FS1101,203300,733100,WeStCOMS2,174531,98348,98315,98316,51.615745544433594
FS1112,199100,734000,linnhe7,25494,13761,13720,13718,19.502212524414062
FS1112,199100,734000,WeStCOMS2,170194,95648,95647,95514,25.808490753173828
FS0237,206100,770600,linnhe7,32096,17395,17373,17396,43.14238357543945
FS0237,206100,770600,WeStCOMS2,171769,96513,96602,96601,35.825313568115234
FS1067,202600,733100,linnhe7,27901,15042,15043,15069,49.44569396972656
FS1067,202600,733100,WeStCOMS2,174155,98068,98113,98112,65.377960205078125
FS0241,185400,752100,linnhe7,15946,8520,8603,8602,20.515653610229492
FS0241,185400,752100,WeStCOMS2,109755,62014,61489,61491,19.74746322631836
FS0240,201300,764700,linnhe7,29190,15789,15737,15738,34.896644592285156
FS0240,201300,764700,WeStCOMS2,163729,91386,91755,91385,36.08602523803711
FS1047,193200,741800,linnhe7,19281,10405,10339,10406,23.680950164794922
FS1047,193200,741800,WeStCOMS2,127008,70872,71438,71437,26.238845825195313
FS0244,207900,759500,linnhe7,30373,16443,16442,16395,34.657188415527344
FS0244,207900,759500,WeStCOMS2,170831,95907,95911,96036,35.68015670776367
FS0875,184700,740000,linnhe7,8873,4796,4795,4729,23.3519229888916
FS0875,184700,740000,WeStCOMS2,79463,44536,45101,45100,28.60613441467285
