fid,i,area,depth,trinode_1,trinode_2,trinode_3
"51486","51486",203440.004882813,153.298645019531,"28751","29170","29169"
"51489","51489",141954.950195313,101.211395263672,"28751","28752","29172"
"51491","51491",59547.0380859375,40.8119239807129,"28752","28753","29173"
"51493","51493",51041.4379882813,16.9127368927002,"28753","28754","29174"
"52248","52248",96407.1938476563,51.6162071228027,"29592","29591","29165"
"52250","52250",89529.3623046875,38.5814094543457,"29165","29166","29593"
"52252","52252",124655.744628906,68.3544845581055,"29166","29167","29594"
"52254","52254",114967.075683594,103.379066467285,"29167","29168","29595"
"52257","52257",143413.9765625,116.351844787598,"29168","29169","29597"
"53055","53055",85181.0786132813,68.6774215698242,"30047","30046","29591"
"53882","53882",95604.7041015625,46.2238807678223,"30506","30043","30507"
"53884","53884",98288.0078125,56.4930191040039,"30508","30043","30044"
"53886","53886",117151.971679688,73.9767456054688,"30509","30044","30045"
"53890","53890",69039.9213867188,72.4897079467773,"30047","30045","30046"
"54678","54678",95142.4028320313,35.4022903442383,"30505","30954","30953"
"54680","54680",89916.30859375,43.3680992126465,"30506","30507","30505"
"55442","55442",82249.0048828125,29.4767246246338,"31389","31388","30953"
"56220","56220",52946.037109375,28.0867366790771,"31388","31839","31838"
"57000","57000",60470.5419921875,18.5758037567139,"31837","32288","32287"
"57002","57002",32056.68359375,29.977445602417,"31837","31838","32289"
"76603","76603",83905.2724609375,6.05811595916748,"43492","43491","42992"
"76605","76605",80245.615234375,4.92383623123169,"43492","42993","43493"
"77526","77526",106818.010253906,13.7736988067627,"43490","43491","44021"
"78481","78481",72432.5732421875,50.0038681030273,"44018","44554","44553"
"78482","78482",85486.88671875,35.7479476928711,"44018","44555","44554"
"78485","78485",92899.779296875,20.0294990539551,"44021","44555","44020"
"79494","79494",103302.737792969,33.8259887695313,"44553","45120","44552"
